item_idx,scene,verb,frame,sentence_left,verb_form,verb_form_tag,sentence_right,Comments
1,2377225,arrive,nsubj _ prep:for,[the] train [is],arriving,VBG,[for] [the] settlers,
1,2407876,arrive,nsubj _ prep:at,[the] train [is],arriving,VBG,[at] [the] station,
1,2377225,pull,nsubj _ dobj,[the] horses [are],pulling,VBG,[the] people,
1,2407876,pull,nsubj _ dobj prep:into,[the] train [is],pulling,VBG,[into] [the] station,
2,2343305,arrive,nsubj _ prep:for,[the] train [is],arriving,VBG,[for] [the] passengers,
2,2375857,arrive,nsubj _ prep:at,[the] train [is],arriving,VBG,[at] [the] station,
2,2343305,walk,nsubj _ prep:on,[the] people [are],walking,VBG,[on] [the] platform,
2,2375857,walk,nsubj _ prep:along,[the] man [is],walking,VBG,[along] [the] platform,
3,2387058,clean,nsubjpass auxpass _ ,[the] oven [is] [being],cleaned,VBZ,,"Interesting case â€” ""clean"" often alternates into passive; ""wear"" rarely does"
3,2414257,clean,nsubj _ ,[the] woman [is],cleaning,VBG,,
3,2387058,wear,nsubj _ dobj,[the] man [is],wearing,VBG,[a] dress shirt,
3,2414257,wear,nsubj _ dobj prep:in,[the] woman [is],wearing,VBG,jeans [in] [a] kitchen,
4,2410944,sit,nsubj _ prep:on,[the] man [is],sitting,VBG,[on] [a] raft,
4,2354231,sit,nsubj _ prep:in,[the] students [are],sitting,VBG,[in] [a] hallway,
4,2410944,wear,nsubj _ dobj prep:with,[the] man [is],wearing,VBG,[a] hat [with] [a] pointed top,
4,2354231,wear,nsubj _ dobj,[the] black man [is],wearing,VBG,[a] hoodie,
5,2394893,run,nsubj _ prep:during,[the] player [is],running,VBG,[during] [a] game,
5,2373988,run,nsubj _ prep:by,[the] riders [are],running,VBG,[by] [the] camera,
5,2394893,wear,nsubj _ dobj,[the] player [is],wearing,VBG,[a] helmet,
5,2373988,wear,nsubj _ dobj prep:with,[the] horse [is],wearing,VBG,[a] cover [with] two colors,
6,2401683,run,nsubj _ prep:with prep:during,[the] horse [is],running,VBG,[with] [a] friend [during] [the] day,Very promising scene conflation!
6,2397971,run,nsubj _ prt:down dobj,[the] man [is],running,VBG,[down] [the] beach,
6,2401683,walk,nsubj _ dobj prep:down,[the] people [are],walking,VBG,[the] horses [down] [the] beach,
6,2397971,walk,nsubj _ prep:down prep:at,[the] man [is],walking,VBG,[down] [the] beach [at] lunchtime,
8,2402402,run,nsubj _ prep:into,[the] animal [is],running,VBG,[into] [the] water,Promising scenes
8,2329261,run,nsubj _ prep:with prep:during,[the] bird [is],running,VBG,[with] [its] kin [during] [the] day,
8,2402402,stand,nsubj _ prep:near,[the] animal [is],standing,VBG,[near] [the] tree,
8,2329261,stand,nsubj _ prep:beside,[the] bird [is],standing,VBG,[beside] [its] kin,
9,2317400,jump,nsubj _ prep:over,[the] horse [is],jumping,VBG,[over] [the] barrier,
9,2412864,jump,nsubj _ prep:down,[the] boy [is],jumping,VBG,[down] [the] stairs,
9,2317400,wear,nsubj _ dobj prep:at,[the] jockey [is],wearing,VBG,[a] hat [at] [the] race,
9,2412864,wear,nsubj _ dobj advcl,[the] boy [is],wearing,VBG,jeans [while] skateboarding,
10,2362394,play,nsubj _ prep:with,[the] dogs [are],playing,VBG,[with] [the] frisbee,
10,2348826,play,nsubj _ prep:with prep:at,[the] boy [is],playing,VBG,[with] [the] girls [at] [the] park,
10,2362394,run,nsubj _ prep:through,[the] dogs [are],running,VBG,[through] [the] water,
10,2348826,run,nsubj _ prep:across,[the] children [are],running,VBG,[across] [the] field,
11,2357419,carry,nsubj _ dobj prep:to,[some] men [are],carrying,VBG,surfboards [to] [the] beach,promising scenes
11,2361204,carry,nsubj _ dobj prep:during,[the] people [are],carrying,VBG,umbrellas [during] [the] storm,
11,2357419,stand,nsubj _ prep:with,[the] men [are],standing,VBG,[with] surfboards,
11,2361204,stand,nsubj _ prep:in,[the] people [are],standing,VBG,[in] [the] rain,
12,2417425,swing,nsubj _ prep:at prep:during,[the] man [is],swinging,VBG,[at] [the] ball [during] [the] game,
12,2361513,swing,nsubj _ prep:at,[the] woman [is],swinging,VBG,[at] [the] ball,
12,2417425,watch,nsubj _ dobj prep:during,[the] crowd [is],watching,VBG,[the] man [during] [the] game,
12,2361513,watch,nsubj _ dobj,[the] crowd [is],watching,VBG,[the] player,
13,2400445,jump,nsubj _ prep:over,[the] horse [is],jumping,VBG,[over] [the] barrier,exclusive with 2317400
13,2341401,jump,nsubj _ prep:for,[the] dog [is],jumping,VBG,[for] [the] frisbee,
13,2400445,sit,nsubj _ prep:on,[the] rider [is],sitting,VBG,[on] [the] horse,
13,2341401,sit,nsubj _ prep:at,[the] people [are],sitting,VBG,[at] [the] park,
14,2403717,float,nsubj _ prep:in,[the] plane [is],floating,VBG,[in] [the] clouds,frame distinctions are a little weak
14,2402326,float,nsubj _ prep:across,[the] kites [are],floating,VBG,[across] [the] field,
14,2403717,fly,nsubj _ prep:above,[the] plane [is],flying,VBG,[above] [the] earth,
14,2402326,fly,nsubj _ prep:around,[the] kites [are],flying,VBG,[around] [the] park,
15,2372664,jump,nsubj _ prep:for prep:during,[the] boy [is],jumping,VBG,[for] [the] ball [during] [the] game,
15,2414571,jump,nsubj _ prep:for,[the] boy [is],jumping,VBG,[for] [the] frisbee,
15,2372664,play,nsubj _ dobj prep:at,[the] children [are],playing,VBG,soccer [at] [the] park,
15,2414571,play,nsubj _ dobj prep:in,[the] boys [are],playing,VBG,frisbee [in] [the] park,
16,2350031,sit,nsubj _ prep:on prep:at,[the] men [are],sitting,VBG,[on] [a] couch [at] [a] conference,
16,2362090,sit,nsubj _ prep:on,[the] cats [are],sitting,VBG,[on] [the] windowsill,
16,2350031,look,nsubj _ prep:into,[the] men [are],looking,VBG,[into] [an] issue,
16,2362090,look,nsubj _ prt:out dobj,[the] cats [are],looking,VBG,[out] [the] window,
17,2412017,shake,nsubj _ dobj prep:with prep:during,[the] player [is],shaking,VBG,hands [with] his opponent [during] [the] match,
17,713937,shake,nsubj _ dobj prep:after,[the] people [are],shaking,VBG,hands [after] [the] meeting,
17,2412017,wear,nsubj _ dobj prep:for,[the] players [are],wearing,VBG,athletic clothes [for] [the] game,
17,713937,wear,nsubj _ dobj,[the] men [are],wearing,VBG,suits,
